scenario_a,scenario_b,best_arm_a,best_arm_b,margin_a_over_b,lower_a_over_b,margin_b_over_a,lower_b_over_a
poisson-n04-p025,saturated-n06,4,6,0.02212810488816856,0.01965390705182668,3.903757994749846e-05,0.0
poisson-n04-p025,turnover-n04-p030-j40-l400,4,14,0.0021367254495860597,1.4744850034054124e-05,0.0008946242803666848,-0.0011857829048748103
poisson-n05-p035,poisson-n06-p015,4,16,1.215360029227508e-05,-0.0005302257688156731,3.851054813105067e-05,-7.419219338666849e-05
poisson-n05-p035,poisson-n06-p045,4,20,0.007178776607444148,0.006694670938649727,0.00035413389596979555,9.085661604824047e-05
poisson-n05-p035,saturated-n03,4,0,0.001620571693856358,0.0006463130862967015,0.0,0.0
poisson-n05-p035,saturated-n06,4,6,0.00962248395849267,0.009240814419814725,3.903757994749846e-05,0.0
poisson-n05-p035,turnover-n04-p030-j40-l400,4,14,0.0004726193819410973,-0.0002878130871014628,0.0008946242803666848,-0.0011857829048748103
poisson-n06-p015,poisson-n06-p045,16,20,0.018789014210446393,0.018262944101865686,0.0005167640032371171,4.739594901481681e-05
poisson-n06-p015,saturated-n03,16,0,0.0039378813973623234,0.003239150588779216,0.0,0.0
poisson-n06-p015,saturated-n06,16,6,0.022645932070762265,0.02167906232445349,3.903757994749846e-05,0.0
poisson-n06-p015,turnover-n04-p030-j40-l400,16,14,0.0017452807452255081,0.0011787794007248609,0.0010912657492112936,-0.0014482713852864704
poisson-n06-p015,turnover-n06-p030-j40-l400,16,4,3.851054813105067e-05,-7.419219338666849e-05,0.0015604624897343673,0.0007572576022594202
poisson-n06-p045,saturated-n03,20,0,0.000562578689114431,0.0003619522422183552,0.0,0.0
poisson-n06-p045,saturated-n06,20,6,0.00011843688065075557,-4.9639250581101635e-05,0.0,0.0
poisson-n06-p045,turnover-n04-p030-j40-l400,20,14,0.0009075775303099368,0.000786291069552636,0.01914147897102429,0.01795327381389966
poisson-n06-p045,turnover-n06-p030-j40-l400,20,4,0.00035413389596979555,9.085661604824047e-05,0.021003988476535174,0.01701478579331106
saturated-n03,saturated-n06,0,6,0.0,0.0,5.287166246777571e-06,0.0
saturated-n03,turnover-n04-p030-j40-l400,0,14,0.0,0.0,0.0033621931479809928,0.0008607379504301793
saturated-n03,turnover-n06-p030-j40-l400,0,4,0.0,0.0,0.004858752562969526,0.004130632731800032
saturated-n06,turnover-n04-p030-j40-l400,6,14,5.3718141417524734e-05,0.0,0.021915219699596495,0.019202204957001312
saturated-n06,turnover-n06-p030-j40-l400,6,4,3.903757994749846e-05,0.0,0.024709114812973665,0.02281592286136236
turnover-n04-p030-j40-l400,turnover-n06-p030-j40-l400,14,4,0.0008946242803666848,-0.0011857829048748103,0.004391238014655981,0.0022882781445338063
